 	Area	Mean	Min	Max	X	Y
1	0.000	61	61	61	499.357	629.045
2	0.000	36	36	36	625.409	1387.777
3	0.000	8	8	8	1178.095	1213.244
4	0.000	68	68	68	1275.058	1145.370
5	0.000	44	44	44	1539.281	893.268
6	0.000	59	59	59	1856.833	687.222
7	0.000	66	66	66	2016.822	643.589
8	0.000	59	59	59	2609.909	1383.737
9	0.000	62	62	62	2851.104	1399.493
10	0.000	68	68	68	2819.995	475.925
