29.7125	29.2388	30.7696	27.7339	25.5694	26.7447	26.95	25.9073	23.8083	31.2161	27.756	30.2841	31.4351	25.3626	26.3061	27.2977	27.8661	27.0769	28.3325	29.881	23.6586	23.8392	27.2213	28.8296	28.3325	29.3809	27.3336	27.3784	29.2942	26.2362	27.7604	27.4007	33.9525	28.7103	27.4409	29.3182	29.7042	28.4231	27.5078	25.6698	27.5967	32.6993	30.2072	31.2122	29.6175	26.7676	26.8407	32.387	28.1111	28.595	28.8593	29.1507	26.4963	27.6676	25.8978	29.9261	26.2081	24.6574	26.4129	32.0944	31.6796	28.7104	26.2501	21.5793	33.3814	41.3499	31.5828	32.3226	34.5356	31.6215	29.2388	27.009	28.8593	27.5833	27.8618	26.7447	24.8553	23.68455	26.4129	29.4309	29.881	28.436	23.5132	22.8796	27.7207	27.7162	29.7619	32.0524	31.2554	30.2922	29.2179	31.8493	31.0666	31.2554	31.1494	30.7855	31.4585	30.1056	30.1706	38.8609	27.756	23.7774	29.2011
30.2294	28.7061	27.0181	28.3325	27.9451	27.1131	26.3061	33.0273	29.0496	23.0503	23.029	28.5521																																																																																											
32.3074	25.6316	24.988	26.2688	25.3529	27.3336	24.498	25.9686	27.2932	29.9261	41.0078	28.3498	23.8853	19.4097	22.2335	29.0497	25.9073	22.409	29.3975	28.4016	23.7207	26.4732	24.2719	25.4783	25.0125	23.4715	27.0769	25.2852	28.037	29.6506	36.6284	31.9529	26.2502	21.1436	20.4066																																																																				
28.9631	23.0476	27.9976	28.7743	32.5943	34.3257	26.399	33.7137	26.7447	24.2719																																																																																													
23.8032	27.2618	26.8954	28.2155	29.1002	27.3336	29.037	24.9831	23.7568	27.1131	24.0539	24.6176	26.8407	29.1128	27.077	24.2972	25.9828	27.5834	26.4546	30.1056	27.3291	26.2361																																																																																	
32.51	31.5635	32.7878	37.9183	31.4045	29.1745	28.1864	26.3574	27.0787	27.2318	29.307	29.8182	28.5725	29.3939	28.5229	26.3198	26.2101	28.7308	33.8259	33.3364	30.3459	34.0735	32.8051	35.2187	36.985	32.4024	31.1629	29.7517	27.9981	24.1934	27.1206	21.3828																																																																							
27.2838	28.3834	29.9991	27.5774	25.4364	21.3574	29.992	32.5321	33.5321	34.9048	32.1073	34.5406	34.185	32.1073	31.3299	25.3191	25.361	32.2064	29.7929	26.3718	31.4923	29.7358	30.3933	25.428	26.93	27.5774	31.2212	31.2212	29.5709	28.157	26.732	26.5965	30.9133	29.5421	27.2283	26.404	29.4196	30.1475	30.7548	27.7004	27.7004	28.0436	25.5031	29.34	27.6697	22.2541	25.661	26.8272	23.9116	28.157	28.1495	29.282	30.0557	34.1289	32.6586	25.7189	24.7846	26.0881	26.7638	29.6722	26.8017	27.9981	25.2106	22.3547	29.6244	27.5251	31.965	31.4796	27.9981	26.1126	26.2569	26.1126	25.3452	33.9736	28.9012																												
25.6453	28.6913	27.9846	27.645	27.6039	28.9959	26.404	26.2137	23.9816	25.1243	26.1523	24.8711	26.8264	26.8264	27.3875	27.3702	25.2706	27.8526	27.9981	28.025	28.2667																																																																																		
30.6717	29.3038	27.2049	26.2506	24.5433	25.3694	23.3267	22.8572	29.0488	25.3191	23.2719	22.4064	24.124	22.8293	25.5124	25.7776	31.1629	26.0945	27.204	30.0557	30.7548	27.1188	29.9139	29.078	25.3945	25.661	28.6435																																																																												
29.4557	26.555	28.2834	27.384	27.8322	26.1126	28.025	27.1589	28.493	28.2533	28.3168	28.4234	28.8489	27.3874	26.1704	26.3575	25.3042	28.9502	27.6449	26.7805	28.3368																																																																																		
23.3671	23.5082	26.5289	27.9846	28.9535	28.2533	29.7358	28.4433	27.5079	25.2994	26.5716	27.3046	26.2605	27.3564	24.2168	26.4433	27.1345	26.6887	26.7841	26.1704	25.8032	35.0574	28.7833	25.2892	25.4122	30.3459	35.6453	26.6887																																																																											
28.0352	28.0351	26.3144	27.8797	26.2821	25.8215	27.2214	28.9372	27.6278	25.982	32.5768	30.8	28.2667	29.2812	27.5525	27.9947	29.2392	27.9711	27.7711	27.0543	26.6107	26.1704	26.1524																																																																																
