 	Area	Mean	Min	Max	X	Y
1	0	56	56	56	10.477	9.490
2	0	67	67	67	10.783	9.330
3	0	52	52	52	10.863	10.557
4	0	61	61	61	11.330	10.357
5	0	58	58	58	11.797	10.437
6	0	25	25	25	12.210	10.277
7	0	25	25	25	12.490	9.690
8	0	63	63	63	12.930	9.130
9	0	45	45	45	13.143	9.543
10	0	61	61	61	13.637	8.197
11	0	94	94	94	14.197	8.463
12	0	63	63	63	14.450	8.663
13	0	72	72	72	16.010	8.317
14	0	54	54	54	13.943	9.410
15	0	52	52	52	14.170	9.290
16	0	38	38	38	14.383	9.157
17	0	78	78	78	11.770	11.410
18	0	51	51	51	13.143	10.290
19	0	69	69	69	13.797	9.823
20	0	61	61	61	14.143	9.783
21	0	87	87	87	14.530	9.730
22	0	71	71	71	13.530	10.743
23	0	16	16	16	13.890	10.077
24	0	56	56	56	15.117	10.130
25	0	54	54	54	11.943	15.200
