 	Area	Mean	Min	Max	X	Y
1	0	27	27	27	12.550	8.223
2	0	36	36	36	10.750	8.443
3	0	33	33	33	10.900	8.663
4	0	36	36	36	11.480	9.263
5	0	31	31	31	11.700	9.903
6	0	25	25	25	11.950	10.093
7	0	44	44	44	12.430	10.723
8	0	27	27	27	10.530	9.793
9	0	61	61	61	11.180	10.073
10	0	0	0	0	11.230	10.373
11	0	31	31	31	10.950	10.533
12	0	19	19	19	11.690	10.573
13	0	0	0	0	12.360	11.163
14	0	0	0	0	12.440	11.403
15	0	10	10	10	11.960	11.543
16	0	0	0	0	11.730	11.573
17	0	59	59	59	2.120	9.893
18	0	54	54	54	22.120	11.360
19	0	48	48	48	17.987	14.747
